symbol,price,market_regime,fundamental_score,technical_score,news_score,upcoming_earnings_days,earnings_event_score,market_trend_score,category_trend_score,total_score,action_stock,action_option,execution_timing,entry_price,target_price,stop_price,risk_reward,option_symbol_hint,option_expiry,option_strike,reason,trade_type,stock_instruction,option_instruction,brief_reason,strategy_bucket,stock_qty,stock_notional_usd,option_contracts,option_premium_est_usd,recommended_budget_usd
EQT,64.16,bullish,0.661,0.6293,0.1319,22,0.6581,-0.04,1.0,0.7052,BUY_STOCK,NO_OPTION,NOW,63.9675,68.9511,60.9774,1.667,,,0.0,"gate(mcap=40053420032,avg_vol=10037313,price=64.16,vol20=1.83%,beta=0.72) | PE=19.4, margin=0.25, ROE=0.09, rev_growth=0.27, debt_to_equity=28.9 | sma20=64.11, sma50=59.77, sma200=55.95, mom20=4.14%, rsi14=58.5, vol20=1.83% | headline_sentiment=0.33 weighted from 20 headlines | earnings_days=22, earnings_event_score=0.66, earnings_outlook_score=0.96, price_setup_score=0.96",STOCK_ONLY,"BUY 18 SHARES @ 63.97, SELL @ 68.95, STOP @ 60.98",NO OPTIONS TRADE,"bullish setup; strong technical trend, solid fundamentals, positive news tone, category trend supportive (score 0.71, regime bullish)",EARNINGS_SWING,18,1151.41,0,0.0,1151.41
XOM,171.15,bullish,0.2856,1.0551,0.1252,31,0.0,-0.04,1.0,0.6467,BUY_STOCK,NO_OPTION,NOW,170.6365,179.273,165.4547,1.667,,,0.0,"gate(mcap=713141518336,avg_vol=21091210,price=171.15,vol20=1.40%,beta=0.35) | PE=25.5, margin=0.09, ROE=0.11, rev_growth=-0.01, debt_to_equity=18.9 | sma20=157.61, sma50=149.74, sma200=123.01, mom20=12.73%, rsi14=88.8, vol20=1.40% | headline_sentiment=0.31 weighted from 20 headlines | earnings_days=31, earnings_event_score=0.00, earnings_outlook_score=0.15, price_setup_score=0.52",STOCK_ONLY,"BUY 7 SHARES @ 170.64, SELL @ 179.27, STOP @ 165.45",NO OPTIONS TRADE,"bullish setup; strong technical trend, solid fundamentals, positive news tone, category trend supportive (score 0.65, regime bullish)",DAILY_TRADING,7,1194.46,0,0.0,1194.46
CVX,210.39,bullish,0.1351,1.0803,0.0226,31,0.0,-0.04,1.0,0.5877,BUY_STOCK,NO_OPTION,NOW,209.7588,218.6944,204.3975,1.667,,,0.0,"gate(mcap=420643995648,avg_vol=12332432,price=210.39,vol20=1.28%,beta=0.66) | PE=31.7, margin=0.07, ROE=0.07, rev_growth=-0.08, debt_to_equity=24.3 | sma20=197.95, sma50=186.07, sma200=161.62, mom20=11.45%, rsi14=91.3, vol20=1.28% | headline_sentiment=0.06 weighted from 20 headlines | earnings_days=31, earnings_event_score=0.00, earnings_outlook_score=0.17, price_setup_score=0.57",STOCK_ONLY,"BUY 5 SHARES @ 209.76, SELL @ 218.69, STOP @ 204.40",NO OPTIONS TRADE,"bullish setup; strong technical trend, category trend supportive (score 0.59, regime bullish)",DAILY_TRADING,5,1048.79,0,0.0,1048.79
VZ,50.195,bullish,0.2353,0.4852,0.0742,9,0.5209,-0.04,-0.9262,0.3294,BUY_STOCK,NO_OPTION,NOW,50.0444,52.0323,48.8517,1.667,,,0.0,"gate(mcap=211706658816,avg_vol=31597718,price=50.19,vol20=0.97%,beta=0.28) | PE=12.4, margin=0.12, ROE=0.17, rev_growth=0.02, debt_to_equity=174.8 | sma20=50.59, sma50=47.53, sma200=43.26, mom20=-1.33%, rsi14=45.4, vol20=0.97% | headline_sentiment=0.19 weighted from 20 headlines | earnings_days=9, earnings_event_score=0.52, earnings_outlook_score=0.22, price_setup_score=0.89",STOCK_ONLY,"BUY 23 SHARES @ 50.04, SELL @ 52.03, STOP @ 48.85",NO OPTIONS TRADE,"bullish setup; strong technical trend, solid fundamentals, category trend weak (score 0.33, regime bullish)",DAILY_TRADING,23,1151.02,0,0.0,1151.02
T,28.855,bullish,0.3956,0.3287,-0.0088,22,0.3863,-0.04,-0.9262,0.3098,BUY_STOCK,NO_OPTION,NOW,28.7684,29.9845,28.0388,1.667,,,0.0,"gate(mcap=202001645568,avg_vol=44477611,price=28.85,vol20=1.48%,beta=0.58) | PE=9.5, margin=0.17, ROE=0.19, rev_growth=0.04, debt_to_equity=124.2 | sma20=28.26, sma50=27.21, sma200=26.88, mom20=0.65%, rsi14=65.3, vol20=1.48% | headline_sentiment=-0.02 weighted from 20 headlines | earnings_days=22, earnings_event_score=0.39, earnings_outlook_score=0.29, price_setup_score=0.85",STOCK_ONLY,"BUY 41 SHARES @ 28.77, SELL @ 29.98, STOP @ 28.04",NO OPTIONS TRADE,"bullish setup; solid fundamentals, category trend weak (score 0.31, regime bullish)",DAILY_TRADING,41,1179.5,0,0.0,1179.5
PFE,27.675,bullish,0.246,0.3089,0.0338,35,0.0,-0.04,-0.8979,0.2191,HOLD,NO_OPTION,NOW,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=157425254400,avg_vol=45343106,price=27.67,vol20=1.47%,beta=0.41) | PE=20.3, margin=0.12, ROE=0.09, rev_growth=-0.01, debt_to_equity=78.0 | sma20=27.03, sma50=26.84, sma200=25.40, mom20=4.12%, rsi14=55.7, vol20=1.47% | headline_sentiment=0.08 weighted from 20 headlines | earnings_days=35, earnings_event_score=0.00, earnings_outlook_score=0.22, price_setup_score=0.94",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; solid fundamentals, category trend weak (score 0.22, regime bullish)",DAILY_TRADING,0,0.0,0,0.0,0.0
WMT,123.37,bullish,0.1689,0.251,0.1902,37,0.0,-0.04,-0.7753,0.2028,HOLD,NO_OPTION,NOW,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=983555309568,avg_vol=31058015,price=123.37,vol20=1.32%,beta=0.66) | PE=45.2, margin=0.03, ROE=0.22, rev_growth=0.06, debt_to_equity=64.4 | sma20=123.75, sma50=124.14, sma200=108.80, mom20=-3.55%, rsi14=45.2, vol20=1.32% | headline_sentiment=0.48 weighted from 20 headlines | earnings_days=37, earnings_event_score=0.00, earnings_outlook_score=0.39, price_setup_score=0.54",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; positive news tone, category trend weak (score 0.20, regime bullish)",DAILY_TRADING,0,0.0,0,0.0,0.0
KO,76.345,bullish,0.3929,0.0593,0.0174,0,0.0,-0.04,-0.7753,0.1957,HOLD,NO_OPTION,NOW,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=328600584192,avg_vol=17924930,price=76.35,vol20=0.92%,beta=0.33) | PE=25.1, margin=0.27, ROE=0.43, rev_growth=0.02, debt_to_equity=139.8 | sma20=76.66, sma50=76.79, sma200=71.22, mom20=-3.77%, rsi14=40.0, vol20=0.92% | headline_sentiment=0.04 weighted from 20 headlines | earnings_days=0, earnings_event_score=0.00, earnings_outlook_score=0.45, price_setup_score=0.48",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; solid fundamentals, category trend weak (score 0.20, regime bullish)",DAILY_TRADING,0,0.0,0,0.0,0.0
NFLX,92.525,bullish,0.5516,-0.3279,0.1349,17,0.542,-0.04,-0.9262,0.1808,HOLD,NO_OPTION,NOW,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=392459616256,avg_vol=48441452,price=92.53,vol20=1.34%,beta=1.71) | PE=36.6, margin=0.24, ROE=0.43, rev_growth=0.18, debt_to_equity=63.8 | sma20=94.90, sma50=87.56, sma200=107.50, mom20=-5.30%, rsi14=35.6, vol20=1.34% | headline_sentiment=0.34 weighted from 20 headlines | earnings_days=17, earnings_event_score=0.54, earnings_outlook_score=0.95, price_setup_score=0.75",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; solid fundamentals, positive news tone, category trend weak (score 0.18, regime bullish)",DAILY_TRADING,0,0.0,0,0.0,0.0
COST,994.0601,bullish,0.2639,0.0822,0.0848,59,0.0,-0.04,-0.7753,0.1663,HOLD,NO_OPTION,NOW,0.0,0.0,0.0,0.0,,,0.0,"gate(mcap=441245270016,avg_vol=2252254,price=994.06,vol20=0.97%,beta=0.99) | PE=51.8, margin=0.03, ROE=0.30, rev_growth=0.09, debt_to_equity=26.0 | sma20=989.94, sma50=986.22, sma200=948.24, mom20=-1.36%, rsi14=48.2, vol20=0.97% | headline_sentiment=0.21 weighted from 20 headlines | earnings_days=59, earnings_event_score=0.00, earnings_outlook_score=0.72, price_setup_score=0.92",NO_TRADE,HOLD STOCK (NO TRADE),NO OPTIONS TRADE,"mixed setup; solid fundamentals, positive news tone, category trend weak (score 0.17, regime bullish)",DAILY_TRADING,0,0.0,0,0.0,0.0
