timestamp_utc,run_count,start_equity,end_equity,run_pnl,run_return_pct,total_return_pct,cash,open_positions,peak_equity,drawdown_pct,closed_positions_count
20260508_135200,1,10000.0,10028.3007,28.3007,0.283,0.283,25.3679,10,10028.3007,0.0,0
20260508_135717,2,10028.3007,10023.2476,-5.0531,-0.0504,0.2325,25.3679,10,10028.3007,0.0504,0
20260508_140217,3,10023.2476,10042.8705,19.6229,0.1958,0.4287,25.3679,10,10042.8705,0.0,0
20260508_140715,4,10042.8705,10051.1599,8.2894,0.0825,0.5116,25.3679,10,10051.1599,0.0,0
20260508_144909,5,10051.1599,10077.5208,26.3609,0.2623,0.7752,25.3679,10,10077.5208,0.0,0
20260508_145204,6,10077.5208,10077.7869,0.2661,0.0026,0.7779,25.3679,10,10077.7869,0.0,0
20260508_145707,7,10077.7869,10079.0075,1.2206,0.0121,0.7901,25.3679,10,10079.0075,0.0,0
20260508_150210,8,10079.0075,10083.8646,4.8571,0.0482,0.8386,25.3679,10,10083.8646,0.0,0
20260508_150709,9,10083.8646,10082.2815,-1.5831,-0.0157,0.8228,25.3679,10,10083.8646,0.0157,0
20260508_151216,10,10082.2815,10074.0616,-8.2199,-0.0815,0.7406,25.3679,10,10083.8646,0.0972,0
20260508_151709,11,10074.0616,10065.7816,-8.28,-0.0822,0.6578,25.3679,10,10083.8646,0.1793,0
20260508_152216,12,10065.7816,10076.7925,11.0109,0.1094,0.7679,25.3679,10,10083.8646,0.0701,0
20260508_152711,13,10076.7925,10075.94,-0.8525,-0.0085,0.7594,25.3679,10,10083.8646,0.0786,0
20260508_170817,14,10075.94,10099.9915,24.0515,0.2387,0.9999,25.3679,10,10099.9915,0.0,0
20260508_171204,15,10099.9915,10101.2364,1.2449,0.0123,1.0124,25.3679,10,10101.2364,0.0,0
20260508_171706,16,10101.2364,10100.9806,-0.2558,-0.0025,1.0098,25.3679,10,10101.2364,0.0025,0
20260508_172205,17,10100.9806,10105.2197,4.2391,0.042,1.0522,25.3679,10,10105.2197,0.0,0
20260508_172659,18,10105.2197,10106.5486,1.3289,0.0132,1.0655,25.3679,10,10106.5486,0.0,0
20260508_173209,19,10106.5486,10111.021,4.4724,0.0443,1.1102,25.3679,10,10111.021,0.0,0
20260508_173706,20,10111.021,10112.1455,1.1245,0.0111,1.1215,25.3679,10,10112.1455,0.0,0
20260508_174205,21,10112.1455,10105.3591,-6.7864,-0.0671,1.0536,25.3679,10,10112.1455,0.0671,0
20260508_174716,22,10105.3591,10106.3451,0.986,0.0098,1.0635,25.3679,10,10112.1455,0.0574,0
20260508_175205,23,10106.3451,10100.5231,-5.822,-0.0576,1.0052,25.3679,10,10112.1455,0.1149,0
20260508_175713,24,10100.5231,10110.7518,10.2287,0.1013,1.1075,25.3679,10,10112.1455,0.0138,0
20260508_180207,25,10110.7518,10117.3027,6.5509,0.0648,1.173,25.3679,10,10117.3027,0.0,0
20260508_180702,26,10117.3027,10116.6446,-0.6581,-0.0065,1.1664,25.3679,10,10117.3027,0.0065,0
20260508_181209,27,10116.6446,10113.4882,-3.1564,-0.0312,1.1349,25.3679,10,10117.3027,0.0377,0
20260508_181703,28,10113.4882,10116.1779,2.6897,0.0266,1.1618,25.3679,10,10117.3027,0.0111,0
20260508_182214,29,10116.1779,10112.6346,-3.5433,-0.035,1.1263,25.3679,10,10117.3027,0.0461,0
20260508_182714,30,10112.6346,10115.014,2.3794,0.0235,1.1501,25.3679,10,10117.3027,0.0226,0
20260508_183212,31,10115.014,10116.5231,1.5091,0.0149,1.1652,25.3679,10,10117.3027,0.0077,0
20260508_183719,32,10116.5231,10112.4693,-4.0538,-0.0401,1.1247,25.3679,10,10117.3027,0.0478,0
20260508_184221,33,10112.4693,10108.3628,-4.1065,-0.0406,1.0836,25.3679,10,10117.3027,0.0884,0
20260508_184719,34,10108.3628,10103.8031,-4.5597,-0.0451,1.038,25.3679,10,10117.3027,0.1334,0
20260508_185231,35,10103.8031,10104.4516,0.6485,0.0064,1.0445,25.3679,10,10117.3027,0.127,0
20260508_185723,36,10104.4516,10100.1929,-4.2587,-0.0421,1.0019,25.3679,10,10117.3027,0.1691,0
20260508_190234,37,10100.1929,10106.2799,6.087,0.0603,1.0628,25.3679,10,10117.3027,0.1089,0
20260508_190720,38,10106.2799,10115.2129,8.933,0.0884,1.1521,25.3679,10,10117.3027,0.0207,0
20260508_191252,39,10115.2129,10119.1607,3.9478,0.039,1.1916,25.3679,10,10119.1607,0.0,0
20260508_191757,40,10119.1607,10124.3279,5.1672,0.0511,1.2433,25.3679,10,10124.3279,0.0,0
20260508_192226,41,10124.3279,10121.8782,-2.4497,-0.0242,1.2188,25.3679,10,10124.3279,0.0242,0
20260508_192742,42,10121.8782,10117.3605,-4.5177,-0.0446,1.1736,25.3679,10,10124.3279,0.0688,0
20260508_193221,43,10117.3605,10118.5736,1.2131,0.012,1.1857,25.3679,10,10124.3279,0.0568,0
20260508_193802,44,10118.5736,10123.3267,4.7531,0.047,1.2333,25.3679,10,10124.3279,0.0099,0
20260508_194256,45,10123.3267,10132.1635,8.8368,0.0873,1.3216,25.3679,10,10132.1635,0.0,0
20260508_194721,46,10132.1635,10138.1735,6.01,0.0593,1.3817,25.3679,10,10138.1735,0.0,0
20260508_195222,47,10138.1735,10141.0181,2.8446,0.0281,1.4102,25.3679,10,10141.0181,0.0,0
20260508_195717,48,10141.0181,10145.6216,4.6035,0.0454,1.4562,25.3679,10,10145.6216,0.0,0
