symbol,price,market_regime,fundamental_score,technical_score,news_score,upcoming_earnings_days,earnings_event_score,market_trend_score,category_trend_score,total_score,action_stock,action_option,execution_timing,entry_price,target_price,stop_price,risk_reward,option_symbol_hint,option_expiry,option_strike,prediction_1w_price,prediction_1w_return_pct,prediction_1m_price,prediction_1m_return_pct,prediction_3m_price,prediction_3m_return_pct,prediction_6m_price,prediction_6m_return_pct,prediction_1y_price,prediction_1y_return_pct,prediction_5y_price,prediction_5y_return_pct,reason,trade_type,stock_instruction,option_instruction,brief_reason,strategy_bucket
GOOGL,400.97,bullish,0.6974,1.3514,0.0008,29,0.4663,0.76,0.3346,1.1162,BUY_STOCK,NO_OPTION,NOW,399.7671,420.4471,387.3591,1.667,,,0.0,405.447,1.12,420.112,4.77,461.181,15.02,511.9242,27.67,653.5811,63.0,2944.7147,634.4,"gate(mcap=4857929400320,avg_vol=30596353,price=400.97,vol20=2.43%,beta=1.27) | PE=30.6, margin=0.38, ROE=0.39, rev_growth=0.22, debt_to_equity=20.0 | sma20=357.53, sma50=323.73, sma200=286.27, mom20=24.79%, rsi14=89.3, vol20=2.43% | headline_sentiment=0.00 weighted from 4 headlines tiers={'secondary': 4} | earnings_days=29, earnings_event_score=0.47, earnings_outlook_score=1.00, price_setup_score=0.45",STOCK_ONLY,"BUY 0 SHARES @ 399.77, SELL @ 420.45, STOP @ 387.36",NO OPTIONS TRADE,"bullish setup; strong technical trend, solid fundamentals, market trend supportive, category trend supportive (score 1.12, regime bullish)",DAILY_TRADING
CSCO,96.505,bullish,0.4081,1.0682,0.102,5,0.7756,0.76,1.0,0.981,BUY_STOCK,NO_OPTION,NOW,96.2155,100.8541,93.4323,1.667,,,0.0,97.5825,1.12,101.1121,4.77,110.9965,15.02,123.2093,27.67,157.3031,63.0,708.7305,634.4,"gate(mcap=381184409600,avg_vol=22532530,price=96.50,vol20=1.78%,beta=0.91) | PE=34.7, margin=0.19, ROE=0.24, rev_growth=0.10, debt_to_equity=66.5 | sma20=88.91, sma50=83.22, sma200=75.69, mom20=17.19%, rsi14=71.1, vol20=1.78% | headline_sentiment=0.25 weighted from 4 headlines tiers={'secondary': 4} | earnings_days=5, earnings_event_score=0.78, earnings_outlook_score=0.85, price_setup_score=0.66",STOCK_ONLY,"BUY 0 SHARES @ 96.22, SELL @ 100.85, STOP @ 93.43",NO OPTIONS TRADE,"bullish setup; strong technical trend, solid fundamentals, positive news tone, market trend supportive, category trend supportive, earnings catalyst in 5d (score 0.98, regime bullish)",EARNINGS_SWING
AVGO,429.295,bullish,0.4718,0.846,0.0,26,0.5327,0.76,1.0,0.8713,BUY_STOCK,NO_OPTION,NOW,428.0071,458.8657,409.492,1.667,,,0.0,434.0882,1.12,449.7892,4.77,493.7594,15.02,548.0872,27.67,699.7509,63.0,3152.733,634.4,"gate(mcap=2032569548800,avg_vol=24149212,price=429.30,vol20=2.42%,beta=1.44) | PE=83.8, margin=0.37, ROE=0.33, rev_growth=0.29, debt_to_equity=82.7 | sma20=410.14, sma50=358.85, sma200=343.54, mom20=13.05%, rsi14=62.3, vol20=2.42% | headline_sentiment=0.00 weighted from 4 headlines tiers={'secondary': 4} | earnings_days=26, earnings_event_score=0.53, earnings_outlook_score=1.00, price_setup_score=0.83",STOCK_ONLY,"BUY 0 SHARES @ 428.01, SELL @ 458.87, STOP @ 409.49",NO OPTIONS TRADE,"bullish setup; strong technical trend, solid fundamentals, market trend supportive, category trend supportive (score 0.87, regime bullish)",DAILY_TRADING
CAT,895.7,bullish,0.244,1.1537,0.0,9,0.6701,0.76,0.2057,0.8632,BUY_STOCK,NO_OPTION,NOW,893.0129,951.2015,858.0998,1.667,,,0.0,905.7008,1.12,938.46,4.77,1030.2013,15.02,1143.5532,27.67,1459.991,63.0,6578.0008,634.4,"gate(mcap=412552232960,avg_vol=2661375,price=895.70,vol20=2.84%,beta=1.62) | PE=44.7, margin=0.13, ROE=0.51, rev_growth=0.22, debt_to_equity=230.8 | sma20=836.57, sma50=764.22, sma200=603.09, mom20=13.13%, rsi14=70.2, vol20=2.84% | headline_sentiment=0.00 weighted from 4 headlines tiers={'secondary': 4} | earnings_days=9, earnings_event_score=0.67, earnings_outlook_score=0.90, price_setup_score=0.70",STOCK_ONLY,"BUY 0 SHARES @ 893.01, SELL @ 951.20, STOP @ 858.10",NO OPTIONS TRADE,"bullish setup; strong technical trend, solid fundamentals, market trend supportive (score 0.86, regime bullish)",EARNINGS_SWING
AMZN,273.1,bullish,0.45,0.9036,0.0987,83,0.0,0.76,0.6303,0.8196,BUY_STOCK,NO_OPTION,NOW,272.2807,286.9836,263.459,1.667,,,0.0,276.1493,1.12,286.1376,4.77,314.1096,15.02,348.6707,27.67,445.153,63.0,2005.6403,634.4,"gate(mcap=2937980715008,avg_vol=49965964,price=273.10,vol20=1.34%,beta=1.47) | PE=32.7, margin=0.12, ROE=0.24, rev_growth=0.17, debt_to_equity=53.3 | sma20=259.62, sma50=231.25, sma200=228.53, mom20=13.84%, rsi14=79.8, vol20=1.34% | headline_sentiment=0.25 weighted from 4 headlines tiers={'secondary': 4} | earnings_days=83, earnings_event_score=0.00, earnings_outlook_score=1.00, price_setup_score=0.64",STOCK_ONLY,"BUY 0 SHARES @ 272.28, SELL @ 286.98, STOP @ 263.46",NO OPTIONS TRADE,"bullish setup; strong technical trend, solid fundamentals, positive news tone, market trend supportive, category trend supportive (score 0.82, regime bullish)",DAILY_TRADING
SMH,565.55,bullish,0.0,1.3574,0.0504,-1,0.0,0.76,0.1867,0.7933,BUY_STOCK,NO_OPTION,NOW,563.8533,595.9498,544.5955,1.667,,,0.0,571.8646,1.12,592.5489,4.77,650.4748,15.02,722.0459,27.67,921.8465,63.0,4153.3864,634.4,"gate(mcap=58790612992,avg_vol=9015135,price=565.55,vol20=2.13%,beta=1.00) | ETF_fundamentals_n/a | sma20=492.98, sma50=434.54, sma200=368.90, mom20=27.57%, rsi14=82.3, vol20=2.13% | headline_sentiment=0.13 weighted from 4 headlines tiers={'secondary': 4} | earnings_days=-1, earnings_event_score=0.00, earnings_outlook_score=0.17, price_setup_score=0.48",STOCK_ONLY,"BUY 0 SHARES @ 563.85, SELL @ 595.95, STOP @ 544.60",NO OPTIONS TRADE,"bullish setup; strong technical trend, market trend supportive (score 0.79, regime bullish)",DAILY_TRADING
AAPL,293.59,bullish,0.5318,0.6204,-0.1029,1,0.0,0.76,1.0,0.7297,BUY_STOCK,NO_OPTION,NOW,292.7092,306.5564,284.4009,1.667,,,0.0,296.7608,1.08,307.1392,4.62,336.1424,14.49,372.2799,26.8,472.0609,60.79,2077.3156,607.56,"gate(mcap=4312060657664,avg_vol=44251414,price=293.59,vol20=1.66%,beta=1.06) | PE=35.6, margin=0.27, ROE=1.41, rev_growth=0.17, debt_to_equity=79.5 | sma20=273.22, sma50=262.81, sma200=257.02, mom20=13.26%, rsi14=69.1, vol20=1.66% | headline_sentiment=-0.26 weighted from 4 headlines tiers={'secondary': 4} | earnings_days=1, earnings_event_score=0.00, earnings_outlook_score=0.92, price_setup_score=0.70",STOCK_ONLY,"BUY 0 SHARES @ 292.71, SELL @ 306.56, STOP @ 284.40",NO OPTIONS TRADE,"bullish setup; strong technical trend, solid fundamentals, negative news tone, market trend supportive, category trend supportive (score 0.73, regime bullish)",DAILY_TRADING
UNH,379.21,bullish,0.1678,0.8862,0.4005,80,0.0,0.76,-0.064,0.6916,BUY_STOCK,NO_OPTION,NOW,378.0724,398.6981,365.6969,1.667,,,0.0,383.444,1.12,397.3132,4.77,436.1534,15.02,484.1429,27.67,618.1123,63.0,2784.9097,634.4,"gate(mcap=344386502656,avg_vol=8567519,price=379.21,vol20=1.90%,beta=0.65) | PE=28.6, margin=0.03, ROE=0.12, rev_growth=0.02, debt_to_equity=74.0 | sma20=349.85, sma50=309.93, sma200=317.45, mom20=21.15%, rsi14=87.7, vol20=1.90% | headline_sentiment=1.00 weighted from 4 headlines tiers={'secondary': 4} | earnings_days=80, earnings_event_score=0.00, earnings_outlook_score=0.38, price_setup_score=0.53",STOCK_ONLY,"BUY 0 SHARES @ 378.07, SELL @ 398.70, STOP @ 365.70",NO OPTIONS TRADE,"bullish setup; strong technical trend, positive news tone, market trend supportive (score 0.69, regime bullish)",DAILY_TRADING
PANW,207.23,bullish,0.2789,0.4943,0.06,25,0.4681,0.76,1.0,0.648,BUY_STOCK,NO_OPTION,NOW,206.6083,222.4219,197.1202,1.667,,,0.0,209.4691,1.08,216.7979,4.62,237.2794,14.5,262.796,26.81,333.2613,60.82,1466.9632,607.89,"gate(mcap=168090042368,avg_vol=10519456,price=207.23,vol20=2.58%,beta=0.77) | PE=114.5, margin=0.13, ROE=0.16, rev_growth=0.15, debt_to_equity=4.9 | sma20=178.12, sma50=168.36, sma200=184.87, mom20=27.52%, rsi14=79.6, vol20=2.58% | headline_sentiment=0.15 weighted from 4 headlines tiers={'secondary': 4} | earnings_days=25, earnings_event_score=0.47, earnings_outlook_score=0.97, price_setup_score=0.50",STOCK_ONLY,"BUY 0 SHARES @ 206.61, SELL @ 222.42, STOP @ 197.12",NO OPTIONS TRADE,"bullish setup; strong technical trend, solid fundamentals, market trend supportive, category trend supportive (score 0.65, regime bullish)",DAILY_TRADING
XLK,175.43,bullish,0.0,1.0129,0.0,-1,0.0,0.76,0.1867,0.6385,BUY_STOCK,NO_OPTION,NOW,174.9037,181.6494,170.8563,1.667,,,0.0,177.3887,1.12,183.8049,4.77,201.7731,15.02,223.974,27.67,285.9509,63.0,1288.3539,634.4,"gate(mcap=103332429824,avg_vol=15819069,price=175.43,vol20=1.36%,beta=1.00) | ETF_fundamentals_n/a | sma20=158.77, sma50=145.94, sma200=142.01, mom20=20.48%, rsi14=83.1, vol20=1.36% | headline_sentiment=0.00 weighted from 4 headlines tiers={'secondary': 4} | earnings_days=-1, earnings_event_score=0.00, earnings_outlook_score=0.17, price_setup_score=0.50",STOCK_ONLY,"BUY 0 SHARES @ 174.90, SELL @ 181.65, STOP @ 170.86",NO OPTIONS TRADE,"bullish setup; strong technical trend, market trend supportive (score 0.64, regime bullish)",DAILY_TRADING
