symbol,price,market_regime,fundamental_score,technical_score,news_score,upcoming_earnings_days,earnings_event_score,market_trend_score,category_trend_score,total_score,action_stock,action_option,execution_timing,entry_price,target_price,stop_price,risk_reward,option_symbol_hint,option_expiry,option_strike,prediction_1w_price,prediction_1w_return_pct,prediction_1m_price,prediction_1m_return_pct,prediction_3m_price,prediction_3m_return_pct,prediction_6m_price,prediction_6m_return_pct,prediction_1y_price,prediction_1y_return_pct,prediction_5y_price,prediction_5y_return_pct,reason,trade_type,stock_instruction,option_instruction,brief_reason,strategy_bucket
GOOGL,399.41,bullish,0.6982,1.3512,-0.2001,29,0.4478,0.76,0.3303,1.0835,BUY_STOCK,NO_OPTION,NOW,398.2118,418.8018,385.8578,1.667,,,0.0,403.8696,1.12,418.4775,4.77,459.3867,15.02,509.9326,27.67,651.0383,63.0,2933.2581,634.4,"gate(mcap=4839029342208,avg_vol=30596353,price=399.41,vol20=2.44%,beta=1.27) | PE=30.5, margin=0.38, ROE=0.39, rev_growth=0.22, debt_to_equity=20.0 | sma20=357.45, sma50=323.70, sma200=286.27, mom20=24.31%, rsi14=89.1, vol20=2.44% | headline_sentiment=-0.50 weighted from 4 headlines tiers={'secondary': 4} | earnings_days=29, earnings_event_score=0.45, earnings_outlook_score=1.00, price_setup_score=0.46",STOCK_ONLY,"BUY 0 SHARES @ 398.21, SELL @ 418.80, STOP @ 385.86",NO OPTIONS TRADE,"bullish setup; strong technical trend, solid fundamentals, negative news tone, market trend supportive, category trend supportive (score 1.08, regime bullish)",DAILY_TRADING
TSM,408.81,bullish,0.7402,1.0094,0.097,32,0.0,0.76,1.0,1.0083,BUY_STOCK,NO_OPTION,NOW,407.5836,437.8022,389.4524,1.667,,,0.0,413.3745,1.12,428.3262,4.77,470.1983,15.02,521.9337,27.67,666.3603,63.0,3002.2915,634.4,"gate(mcap=2120252260352,avg_vol=13463864,price=408.81,vol20=2.65%,beta=1.26) | PE=35.1, margin=0.47, ROE=0.36, rev_growth=0.35, debt_to_equity=17.1 | sma20=389.43, sma50=363.22, sma200=309.67, mom20=10.62%, rsi14=68.8, vol20=2.65% | headline_sentiment=0.24 weighted from 4 headlines tiers={'secondary': 4} | earnings_days=32, earnings_event_score=0.00, earnings_outlook_score=0.99, price_setup_score=0.76",STOCK_ONLY,"BUY 0 SHARES @ 407.58, SELL @ 437.80, STOP @ 389.45",NO OPTIONS TRADE,"bullish setup; strong technical trend, solid fundamentals, positive news tone, market trend supportive, category trend supportive (score 1.01, regime bullish)",DAILY_TRADING
CSCO,96.4,bullish,0.4083,1.0645,0.102,5,0.7764,0.76,1.0,0.9796,BUY_STOCK,NO_OPTION,NOW,96.1108,100.7494,93.3277,1.667,,,0.0,97.4763,1.12,101.0021,4.77,110.8757,15.02,123.0753,27.67,157.132,63.0,707.9594,634.4,"gate(mcap=380769697792,avg_vol=22532530,price=96.40,vol20=1.77%,beta=0.91) | PE=34.7, margin=0.19, ROE=0.24, rev_growth=0.10, debt_to_equity=66.5 | sma20=88.90, sma50=83.22, sma200=75.69, mom20=17.06%, rsi14=71.0, vol20=1.77% | headline_sentiment=0.25 weighted from 4 headlines tiers={'secondary': 4} | earnings_days=5, earnings_event_score=0.78, earnings_outlook_score=0.85, price_setup_score=0.66",STOCK_ONLY,"BUY 0 SHARES @ 96.11, SELL @ 100.75, STOP @ 93.33",NO OPTIONS TRADE,"bullish setup; strong technical trend, solid fundamentals, positive news tone, market trend supportive, category trend supportive, earnings catalyst in 5d (score 0.98, regime bullish)",EARNINGS_SWING
AVGO,427.5501,bullish,0.4718,0.8335,0.1002,26,0.56,0.76,1.0,0.884,BUY_STOCK,NO_OPTION,NOW,426.2675,457.126,407.7523,1.667,,,0.0,432.3239,1.12,447.961,4.77,491.7525,15.02,545.8594,27.67,696.9067,63.0,3139.9184,634.4,"gate(mcap=2024780857344,avg_vol=24149212,price=427.55,vol20=2.39%,beta=1.44) | PE=83.5, margin=0.37, ROE=0.33, rev_growth=0.29, debt_to_equity=82.7 | sma20=410.06, sma50=358.82, sma200=343.53, mom20=12.61%, rsi14=61.8, vol20=2.39% | headline_sentiment=0.25 weighted from 4 headlines tiers={'secondary': 4} | earnings_days=26, earnings_event_score=0.56, earnings_outlook_score=1.00, price_setup_score=0.84",STOCK_ONLY,"BUY 0 SHARES @ 426.27, SELL @ 457.13, STOP @ 407.75",NO OPTIONS TRADE,"bullish setup; strong technical trend, solid fundamentals, positive news tone, market trend supportive, category trend supportive (score 0.88, regime bullish)",EARNINGS_SWING
CAT,899.475,bullish,0.2427,1.1673,0.0,9,0.6674,0.76,0.2356,0.8706,BUY_STOCK,NO_OPTION,NOW,896.7766,954.7023,862.0211,1.667,,,0.0,909.5179,1.12,942.4151,4.77,1034.5431,15.02,1148.3728,27.67,1466.1442,63.0,6605.724,634.4,"gate(mcap=414290935808,avg_vol=2661375,price=899.47,vol20=2.84%,beta=1.62) | PE=44.8, margin=0.13, ROE=0.51, rev_growth=0.22, debt_to_equity=230.8 | sma20=836.76, sma50=764.29, sma200=603.10, mom20=13.61%, rsi14=70.7, vol20=2.84% | headline_sentiment=0.00 weighted from 4 headlines tiers={'secondary': 4} | earnings_days=9, earnings_event_score=0.67, earnings_outlook_score=0.90, price_setup_score=0.69",STOCK_ONLY,"BUY 0 SHARES @ 896.78, SELL @ 954.70, STOP @ 862.02",NO OPTIONS TRADE,"bullish setup; strong technical trend, solid fundamentals, market trend supportive (score 0.87, regime bullish)",EARNINGS_SWING
AMZN,272.6,bullish,0.4504,0.8998,0.0,83,0.0,0.76,0.6491,0.8046,BUY_STOCK,NO_OPTION,NOW,271.7822,286.4122,263.0042,1.667,,,0.0,275.6437,1.12,285.6137,4.77,313.5345,15.02,348.0324,27.67,444.338,63.0,2001.9683,634.4,"gate(mcap=2932388134912,avg_vol=49965964,price=272.60,vol20=1.34%,beta=1.47) | PE=32.6, margin=0.12, ROE=0.24, rev_growth=0.17, debt_to_equity=53.3 | sma20=259.59, sma50=231.24, sma200=228.52, mom20=13.64%, rsi14=79.6, vol20=1.34% | headline_sentiment=0.00 weighted from 4 headlines tiers={'secondary': 4} | earnings_days=83, earnings_event_score=0.00, earnings_outlook_score=1.00, price_setup_score=0.65",STOCK_ONLY,"BUY 0 SHARES @ 271.78, SELL @ 286.41, STOP @ 263.00",NO OPTIONS TRADE,"bullish setup; strong technical trend, solid fundamentals, market trend supportive, category trend supportive (score 0.80, regime bullish)",DAILY_TRADING
SMH,564.04,bullish,0.0,1.3579,0.0914,-1,0.0,0.76,0.1876,0.7998,BUY_STOCK,NO_OPTION,NOW,562.3479,594.4443,543.09,1.667,,,0.0,570.3377,1.12,590.9668,4.77,648.7381,15.02,720.118,27.67,919.3852,63.0,4142.2969,634.4,"gate(mcap=58790612992,avg_vol=9015135,price=564.04,vol20=2.11%,beta=1.00) | ETF_fundamentals_n/a | sma20=492.90, sma50=434.51, sma200=368.89, mom20=27.23%, rsi14=82.1, vol20=2.11% | headline_sentiment=0.23 weighted from 4 headlines tiers={'secondary': 4} | earnings_days=-1, earnings_event_score=0.00, earnings_outlook_score=0.17, price_setup_score=0.48",STOCK_ONLY,"BUY 0 SHARES @ 562.35, SELL @ 594.44, STOP @ 543.09",NO OPTIONS TRADE,"bullish setup; strong technical trend, positive news tone, market trend supportive (score 0.80, regime bullish)",DAILY_TRADING
AAPL,292.8725,bullish,0.5323,0.6112,0.0,1,0.0,0.76,1.0,0.7417,BUY_STOCK,NO_OPTION,NOW,291.9939,305.841,283.6856,1.667,,,0.0,296.039,1.08,306.4036,4.62,335.3702,14.51,371.4517,26.83,471.1141,60.86,2074.7148,608.4,"gate(mcap=4301632831488,avg_vol=44251414,price=292.87,vol20=1.65%,beta=1.06) | PE=35.5, margin=0.27, ROE=1.41, rev_growth=0.17, debt_to_equity=79.5 | sma20=273.19, sma50=262.79, sma200=257.02, mom20=12.99%, rsi14=68.7, vol20=1.65% | headline_sentiment=0.00 weighted from 4 headlines tiers={'secondary': 4} | earnings_days=1, earnings_event_score=0.00, earnings_outlook_score=0.92, price_setup_score=0.71",STOCK_ONLY,"BUY 0 SHARES @ 291.99, SELL @ 305.84, STOP @ 283.69",NO OPTIONS TRADE,"bullish setup; strong technical trend, solid fundamentals, market trend supportive, category trend supportive (score 0.74, regime bullish)",DAILY_TRADING
UNH,375.52,bullish,0.1696,0.8857,0.4005,80,0.0,0.76,-0.0545,0.6929,BUY_STOCK,NO_OPTION,NOW,374.3934,394.5348,362.3086,1.667,,,0.0,379.7128,1.12,393.447,4.77,431.9093,15.02,479.4318,27.67,612.0976,63.0,2757.8104,634.4,"gate(mcap=341026373632,avg_vol=8567519,price=375.52,vol20=1.87%,beta=0.65) | PE=28.3, margin=0.03, ROE=0.12, rev_growth=0.02, debt_to_equity=74.0 | sma20=349.67, sma50=309.85, sma200=317.43, mom20=19.97%, rsi14=87.1, vol20=1.87% | headline_sentiment=1.00 weighted from 4 headlines tiers={'secondary': 4} | earnings_days=80, earnings_event_score=0.00, earnings_outlook_score=0.38, price_setup_score=0.55",STOCK_ONLY,"BUY 0 SHARES @ 374.39, SELL @ 394.53, STOP @ 362.31",NO OPTIONS TRADE,"bullish setup; strong technical trend, positive news tone, market trend supportive (score 0.69, regime bullish)",DAILY_TRADING
ABNB,142.655,bullish,0.5377,0.4322,0.1025,89,0.0,0.76,0.6491,0.655,BUY_STOCK,NO_OPTION,NOW,142.227,150.9029,137.0215,1.667,,,0.0,144.2478,1.12,149.4652,4.77,164.0765,15.02,182.1297,27.67,232.5276,63.0,1047.6551,634.4,"gate(mcap=84811997184,avg_vol=4273906,price=142.65,vol20=1.39%,beta=1.21) | PE=35.2, margin=0.21, ROE=0.30, rev_growth=0.12, debt_to_equity=27.7 | sma20=140.01, sma50=134.00, sma200=128.38, mom20=9.47%, rsi14=47.5, vol20=1.39% | headline_sentiment=0.26 weighted from 4 headlines tiers={'secondary': 4} | earnings_days=89, earnings_event_score=0.00, earnings_outlook_score=0.40, price_setup_score=0.89",STOCK_ONLY,"BUY 0 SHARES @ 142.23, SELL @ 150.90, STOP @ 137.02",NO OPTIONS TRADE,"bullish setup; strong technical trend, solid fundamentals, positive news tone, market trend supportive, category trend supportive (score 0.66, regime bullish)",DAILY_TRADING
PANW,205.235,bullish,0.2789,0.4939,0.06,25,0.4689,0.76,1.0,0.6479,BUY_STOCK,NO_OPTION,NOW,204.6193,220.2214,195.258,1.667,,,0.0,207.4354,1.07,214.6364,4.58,234.751,14.38,259.8619,26.62,329.0287,60.32,1440.6259,601.94,"gate(mcap=166376652800,avg_vol=10519456,price=205.24,vol20=2.51%,beta=0.77) | PE=113.3, margin=0.13, ROE=0.16, rev_growth=0.15, debt_to_equity=4.9 | sma20=178.01, sma50=168.32, sma200=184.86, mom20=26.24%, rsi14=78.9, vol20=2.51% | headline_sentiment=0.15 weighted from 4 headlines tiers={'secondary': 4} | earnings_days=25, earnings_event_score=0.47, earnings_outlook_score=0.97, price_setup_score=0.51",STOCK_ONLY,"BUY 0 SHARES @ 204.62, SELL @ 220.22, STOP @ 195.26",NO OPTIONS TRADE,"bullish setup; strong technical trend, solid fundamentals, market trend supportive, category trend supportive (score 0.65, regime bullish)",DAILY_TRADING
XLK,174.87,bullish,0.0,1.0128,0.0,-1,0.0,0.76,0.1876,0.6386,BUY_STOCK,NO_OPTION,NOW,174.3454,181.0754,170.3074,1.667,,,0.0,176.8225,1.12,183.2181,4.77,201.1291,15.02,223.2591,27.67,285.0381,63.0,1284.2413,634.4,"gate(mcap=103332429824,avg_vol=15819069,price=174.87,vol20=1.33%,beta=1.00) | ETF_fundamentals_n/a | sma20=158.74, sma50=145.93, sma200=142.01, mom20=20.09%, rsi14=82.8, vol20=1.33% | headline_sentiment=0.00 weighted from 4 headlines tiers={'secondary': 4} | earnings_days=-1, earnings_event_score=0.00, earnings_outlook_score=0.17, price_setup_score=0.51",STOCK_ONLY,"BUY 0 SHARES @ 174.35, SELL @ 181.08, STOP @ 170.31",NO OPTIONS TRADE,"bullish setup; strong technical trend, market trend supportive (score 0.64, regime bullish)",DAILY_TRADING
QQQ,709.6,bullish,0.0,0.8203,0.0,-1,0.0,0.76,0.1876,0.5564,BUY_STOCK,NO_OPTION,NOW,707.4712,727.3869,695.5218,1.667,,,0.0,717.5229,1.12,743.4757,4.77,816.1559,15.02,905.9566,27.67,1156.648,63.0,5211.2863,634.4,"gate(mcap=440257380352,avg_vol=59169269,price=709.60,vol20=0.96%,beta=1.00) | ETF_fundamentals_n/a | sma20=660.71, sma50=620.88, sma200=607.30, mom20=14.94%, rsi14=83.9, vol20=0.96% | headline_sentiment=0.00 weighted from 4 headlines tiers={'secondary': 4} | earnings_days=-1, earnings_event_score=0.00, earnings_outlook_score=0.17, price_setup_score=0.56",STOCK_ONLY,"BUY 0 SHARES @ 707.47, SELL @ 727.39, STOP @ 695.52",NO OPTIONS TRADE,"bullish setup; strong technical trend, market trend supportive (score 0.56, regime bullish)",DAILY_TRADING
